fname,dialogue,summary,topic
train_14,"#person1#: 어떤 종류의 음악을  것을 좋아하시나요? #person2#: 저는  비트와 활기찬 느낌의 음악,    음악을 좋아합니다. 당신도 알다시피,   디스코에 가요. 가끔은  시끄러운 것 같기도 하지만요. 당신은 클래식 음악을 선호하시는 거죠? #person1#: 네, 맞아요. 저는 그것이  편안하게 느껴져요.  하루를  후에는  저녁에 모차르트나 바흐를 들어요. #person2#: 저도  몇몇 클래식 음악을 좋아해요. 그것은 분명히  댄스 음악보다 더 세련되었어요. #person1#: 클래식 음악은 두뇌에 좋다고 알려져 있어요.  결과에 따르면, 그것은 두뇌를 더 활성화시킨다고 해요. 공부하면서 클래식 음악을 듣는 학생들이 더 잘하는 경향이 있어요. #person2#: 정말요? 저도 클래식 음악을  들어야겠어요. 클래식 음악을 듣는 것이 스트레스를 줄이는 데 도움이 된다고 들었어요. #person1#: 네. 그래서 저는 저녁에 들어요. 요리하거나 다른 집안일을 하면서   음악으로 틀어놓아요. #person2#: 저도 몇  클래식  cd가 있어요. 당신의 방식을 따라서 두뇌력을 향상시켜야겠어요. #person1#: 인터넷에서도 많은 녹음을  수 있어요. 샘플을 듣고, 그것들이 마음에 들면 매우 저렴하게 구입할 수 있어요. #person2#: 좋은 생각이네요. 당신도 같은 방식으로 몇몇 음악을 찾아보세요. 당신이 좋아할  것을 찾을 수 있을 거예요. 클래식 음악은 당신을 똑똑하게  수 있지만, 댄스 음악은 당신을 더 활기차고 행복하게 만들 수 있을 거예요. #person1#: 그건 사실이죠. 활기찬 음악을 듣는 사람들이 활기찬 사람들이라는 명확한 증거가 있어요. 음악은 사람의 감정과 성격에 영향을  수 있어요.","#person2#는 댄스 음악을 좋아하고, #person1#은 클래식 음악을 선호합니다. #person1#은 두뇌를 더 활성화시키고 스트레스를  수 있기 때문에 #person2#에게 더 많은 클래식 음악을 듣는 것을 제안합니다. #person2#는 클래식 음악이 #person2#를 똑똑하게 만들지만, 댄스 음악이 #person1#을 더 활기차고 행복하게 만든다고 말합니다.",음악
train_15,"#person1#: 그의  혼란스러워요. #person2#: 왜 그렇게 말하나요? #person1#: 그가 무엇을  싶은지 모르겠어요. 그는 저를 도와주려는 건지, 아니면  저를 꾸짖으려는 건지? #person2#: 조금만 생각해보세요. 저는 그가 마음속  곳에서는 좋은 의도를 가지고 있다고 생각해요.",#person1#은 #person2#에게 그 남자의  인해 혼란스러움을 느꼈다고 말합니다.,혼란스러움
train_16,"#person1#: 발렌타인 데이에 대해 말해주세요. #person2#: 그날에는 보통 남자들이 연인에게 장미를 선물하고, 여자들은 그들에게 초콜릿을 선물로 돌려줘요. #person1#: 정말 로맨틱하네요.  사람들은 정말 재미있게 보내겠어요. #person2#: 그렇죠, 그게  그 휴일의 목적이지 않을까요?",#person2#는 #person1#에게 자신의 발렌타인 데이에 대해 이야기합니다. #person1#는 그것이 로맨틱하다고 느낍니다.,발렌타인 데이
train_17,"#person1#: 이  쌍둥이가 당신의 세 쌍둥인가요? 정말 아름답네요! 이런 나이에 피부와   아기들을  봤는데요. 세 쌍둥이는 당신과  정말 똑같이 닮았어요! 아이를 더 가질 계획이 있나요? #person2#:   돼요!  한계에 다다른 것 같아요. 어떤    못 자요. 아기들이 최고의 소리로 울어대도   잠을 자요. #person1#: 그럼, 진통과 출산은 어땠나요? #person2#: 제 인생에서 가장 즐거운 시간이었다고는  못하겠지만, 적어도 모든 것이 순조롭게 진행됐어요. #person1#: 힘내세요. 20년 후에는 그 모든 것이 충분히 가치있었다고  거예요!","#person1#은 #person2#에게 더 아이를 가질 계획이 있는지 물었고, #person2#는 아기들이 소리치면서 잠을 못  상황에서 더 이상 아이를  것을 거부했다.",세 쌍둥이
train_18,"#person1#: 우와, 이 모든 아이스크림 종류를 보세요! #person2#: 네, 정말 많은 종류가 있네요. 당신이 가장 좋아하는  무엇인가요? #person1#: 저는 초콜릿이 들어간 아무 것이나  좋아해요. #person2#: 저도 초콜릿을 좋아해요. #person1#: 당신이 싫어하는 아이스크림 종류가 있나요? #person2#: 저는 견과류가 들어간 아이스크림을 정말 싫어해요. #person1#: 저도 그건  좋아하지 않아요. #person2#:  아이스크림은    있나요? #person1#: 그건 정말 역겨워 보여요! #person2#: 그랬어요. 하지만 오늘은 일반적인 것을 선택할게요.",#person1#과 #person2#는 다양한 아이스크림 종류에 대해 이야기하고 있습니다. 그들은 일반적인 것을 선택하기로 결정했습니다.,아이스크림
train_19,"#person1#:  우리와 함께 일하러  건가요? #person2#: 제  패드를  사용해서 당신에게 감탄하는 메모를  수 있을까요? #person1#: 그건 협상을 해봐야겠네요. 가능성은 있어요. #person2#: 당신도 저를 그리워하고 있죠? #person1#:  너무  마세요, 데이브. #person2#: 알겠어요, 저도 할게요. 언제 시작하나요? #person1#: 가능한 한  여기로 오세요. 우리는 당신을 기다리고 있을 거에요.","#person1#은 데이브에게 함께 일하는 것을 제안하고, 데이브는 동의한다.",함께 일하기
train_20,"#person1#: 이 좌석을 어떻게  눕혀? 어딘가에 레버가 있다는 건 알아. #person2#: 뭐하고 있는 거야? #person1#:  입고 있는데, 어떻게 보여? #person2#: 옷을 입으려고  것 같아. 우리가     있다는 걸 잊었나  #person1#:   잘해. 아무도  수 없어. #person2#: 농담하는 거야? 사람들이   쳐다보다가 사고나게 될 거야! #person1#: 알았어,  주유소에  세워줘.  화장실에서 옷을 입을게. #person2#: 기꺼이 그렇게 해줄게.","#person1#이 차 안에서 옷을 입고 있고, #person2#가 그녀에게 그렇게 하지 말라고 경고한다. #person1#은 주유소에서 옷을 입을 것이다.",옷 입기
train_21,"#person1#: 우리는  30분 전에  차이나 카운터에서 체크인해야  조이. #person2#:  알고 있어. 티켓에   시간은 17:05이고, 지금은 16:15이야. 우리는 충분한 시간이 있는 것 같아. #person1#: 체크인할  신분증을 보여줘야  #person2#: 응, 그건 필수야. #person1#: 우리  어떻게 해? #person2#: 우리는  확인하고 작은 가방은    수 있어. 그리고 각각을 검사하기 위해 열어야  #person1#: 그들이 모든 승객을 수색할까? #person2#: 그럴 것 같아. 우리는 오늘 비행기에서  사건이 일어나는 것을 확실히 원하지 않으니깐.",#person1#은 에어 차이나 카운터에서 체크인할 때 #person2#에게 무엇을 해야 하는지 물어봅니다.,체크인
train_22,"#person1#: 제가 들었는데, 여러분들이  좋은 서비스를 제공한다고  이사할 때 필요한 이사업체로 먼저 연락했습니다. #person2#: 저희에게 연락해주셔서 감사합니다. 어떤  저희에게 부탁하실지 좀 더 자세히 말씀해주실 수 있을까요? #person1#: 아, 저희는 8층에 있고, 다른 건물의 6층으로 이사를 가려고 합니다. 거기까지는 대략 15킬로미터 정도입니다. #person2#: 알겠습니다, 비용은 이사할 층수, 두  사이의 거리, 그리고 이동할 가구의   달라집니다. #person1#: 그럼 그 경우에 비용이 얼마나 들까요? #person2#: 아, 잠시만요. 이것은 두   요금에 해당합니다. 계약서를  보시겠어요? #person1#: 요금은 선불금과 나머지로 나뉘어져 있네요. 저는 이사하기 전에   한다고 생각했어요. #person2#: 아니요, 먼저 계약서를 작성하고 ; 비용의 50%를 지불하시고, 나머지는 이사가  후에 지불하시면 됩니다. #person1#:    항목이 헷갈리네요.  좀 해주실 수 있을까요? #person2#: 알겠습니다.   물품이 손상되었다면,  부서에 보상 청구를  수 있습니다.",#person1#은 이사업체가 필요해서 #person2#에게 전화를 합니다. #person1#은 #person2#에게 필요한 일을 말하고 비용을 묻습니다. #person2#은 계약서를 보여주고 비용과 보상을 설명합니다.,이사업체
train_23,"#person1#: 안녕, 마이크. 오랜만이네. 캐시는 어때? #person2#: 우리 더  만나지 않아. #person1#: 무슨 일이 있었어? 헤어졌어? #person2#: 그래. 그녀의 끊임없는 잔소리에 지쳤어. #person1#: 오, 미안해. 아마 그 순간에 감정적이었을  있어. 너희들 다시  수 있을까? #person2#: 모르겠어. 바다에는 물고기가 많으니까! #person1#: 오,  정말 개 같아!","마이크는 캐시와 헤어졌다. #person1#은 미안해하지만, 마이크는 다시 만나고 싶지 않다.",이별
train_24,"#person1#: 당신이 본 모든  중에서 가장 좋아하는 것은 무엇인가요? #person2#: 저는  배드가 가장 좋은 영화라고 말하고 싶네요. #person1#: 왜 그렇게 생각하나요? #person2#:  배드는 정말 웃기거든요. #person1#: 거짓말이 아니네요, 저도 그 영화를 보고 정말 웃었어요. #person2#: 슈퍼 배드를 보셨는지 몰랐어요. #person1#: 저는 그 영화가 개봉하는 첫   보려고   있었어요. #person2#: 저는 영화  웃음을  수 없었어요. #person1#: 저도 영화 내내  웃어서, 나중에는  아팠어요. #person2#: 저도 그랬어요. #person1#: dvd로  그 영화를 구입했는데,  볼래요? #person2#: 네, 좋아요.",#person1#과 #person2# 모두 슈퍼 배드가 웃기다고 생각합니다. 그들은 그 영화를 볼 때마다 웃음을 멈출 수 없습니다. #person1#은 #person2#에게 같이 보자고 초대합니다.,영화
train_25,"#person1#: 이 모든  검사는 무슨 일인가요, 지미? 이  위험한  수도 있다는 건가요? #person2#: 아니요, 그런 건 아니에요. 그냥 만약을 대비한 거죠. 걱정하지 마세요. 중국에서도 이런  하지 않나요? #person1#: 잘 모르겠네요. 아마 비슷할 거예요. 사실,   건 이번이 처음이에요. #person2#: 오, 그럼 당신과 함께 여기 있을 수 있어서 영광이네요. 이제 당신이 바에 대해 궁금해하던 이유를 알겠어요. 이  마음에 드나요? #person1#: 그럼요. 이  정말 좋아해요,  인테리어요. 정말 세련되네요! #person2#: 그렇죠. 그 외에도, 이곳의 진짜 특징은 훌륭한 음료들이에요. 티켓을 볼 수 있을까요? #person1#: 여기 있어요. 하지만, 왜요? 우리 이미 들어왔잖아요. #person2#: 티켓이 있으면  음료를  수 있어요. 무엇을 드시겠어요? 오렌지 주스? #person1#: 네, 오렌지  좋아요. 하지만 어떻게 음료를 받을 수 있죠? 카운터 주변이 너무 붐벼서 움직일  없어요. #person2#: 어떻게 하는지 보여드릴게요. 바텐더들은  차례인지 알고 있어요. 그리고 또한, 제가 손가락을 튕겨서 그의 주목을  수도 있어요. #person1#: 멋져요. 감사해요.",#person1#이 처음으로 바에 왔습니다. #person1#은 세련된 인테리어를 좋아합니다. 지미는 #person1#에게 티켓을  무료 음료를 받을 수 있게 해줍니다.,바
train_26,"#person1#: 실례합니다, 이 버스는 센트럴 파크로 가나요? #person2#: 네, 이 버스가 맞아요. #person1#: 센트럴 파크에 도착하면 알려주실 수 있나요? #person2#: 걱정하지 마세요. 정거장을 알려드릴게요. #person1#:   후.)  정거장에서 내려야 하나요? #person2#: 아니요, 걱정하지 마세요. 도착하면 알려드릴게요. #person1#:  걸리나요? #person2#: 아니요, 그렇게 오래 걸리지 않아요. 두 정거장 더  내리시면 돼요, 선생님. #person1#: 알겠습니다. 감사합니다. #person2#: 천만에요.",#person1#은 센트럴 파크로 가는 버스를 탑니다. #person2#은 #person1#에게 언제 내려야 하는지 알려줍니다.,버스 타기
train_27,"#person1#: 화이트  저는 다음  초부터 회사를  예정임을 알려드리고 싶습니다. #person2#: 제시카, 그런 소식을   매우 유감스러워요. 왜 그만두시는 건가요? #person1#: 저에게 더  급여를 제공하는 다른 직장에서 제안이 왔습니다. 그리고 승진의 기회도 주어졌습니다. #person2#:  먼저 저에게 말씀해주셨다면, 우리도 당신에게 인상을 해주었을 텐데요. #person1#: 화이트  정말 좋은 사장님이시고, 저는  같은 좋은 사장님을  행운이었습니다. 하지만 이 새로운 직장은 제가  원했던 관심 분야에 더 가깝습니다. #person2#: 알겠습니다, 제시카. 행운을 빕니다. 그리고 추후에 추천서가 필요하면, 기꺼이 작성해드리겠습니다.","제시카는 화이트 씨에게 다른 직장을 제안받아 회사를 떠날 것이라고 말한다. 화이트 씨는 유감스럽지만, 그녀를 위해 추천서를 작성해주기로 한다.",회사 떠나기
train_28,"#person1#:  업무에  경험이 있으신가요? #person2#: 네, 있습니다. 사실, 저는   회사에서 거의 두  동안 일했고, 여러 회사와  관계를 맺었습니다. #person1#: 그 회사에서 정확히 어떤 일을 하셨나요? #person2#: 고객을 방문하고, 화물을 발송하는  일을 했습니다. #person1#: 당신의 일을 좋아하셨나요? #person2#: 네, 좋아했습니다. #person1#: 그런데 언제 그리고 왜 그 회사를 떠나셨나요? #person2#: 두 달 전에 그 회사를 떠났습니다. 저는 그곳에서 많은 것을  수 없다고 생각했고,  개발의 기회도  않았습니다. #person1#: 알겠습니다. 왜 우리 회사를 선택하셨나요? #person2#: 귀사에서는 자기 개발의 기회가 많다는 것을 알고 있습니다. 또한, 저는  지역의 한 도시에서 자랐습니다. 그 지역에 많은 지인이 있어, 판매를 촉진하는 데 도움이 될 것 같습니다.","#person1#은 #person2#에게 인터뷰를 하고, 판매 업무 경험, 이전 회사에서의 업무, 그리고 왜 #person2#가 그곳을 떠났는지 등 여러 가지 질문을 합니다.",인터뷰
train_29,"#person1#: 오늘 일요일이네요. #person2#: 네, 알고 있어요. #person1#: 오늘  청소를  할 것 같아요. 어떻게 생각하세요? #person2#: 아, 아니에요. 우리 지난 주에 이미 했잖아요. #person1#:   하고 싶어요? 옷을 빨래하거나  청소하거나? #person2#: 옷을 빨래하는 것이 낫겠어요. #person1#: 좋아요. 여기 빨래가 있어요. #person2#: 오,   너무 많아요! #person1#:  마세요. 나중에 도와드릴게요.","#person1#은 집 청소를 제안하고, #person2#는 옷 빨래를 선택했습니다.",집 청소하기
train_30,"#person1#: 주문하시겠습니까? #person2#:  결정하지 못했습니다. 조금 더 시간을  수 있나요? #person1#: 네, 천천히 결정하셔도 됩니다. #person2#: 먼저 음료를 가져다 주실 수 있나요?  두  원합니다. #person1#: 알겠습니다. #person2#: 오늘의  메뉴를 알려주실 수 있나요? #person1#: 오늘의 특선 메뉴는 스테이크입니다. #person2#: 그럼 이 스테이크 디너를 주문하겠습니다. #person1#: 스테이크와 함께  것은 무엇인가요? #person2#: 완두콩과 당근입니다. #person1#: 알겠습니다. 디저트로 무엇을 드시겠습니까? #person2#: 아이스크림 부탁드립니다.","#person1#은 #person2#의 주문을 받아 맥주 두  스테이크 디너, 그리고 아이스크림을 준비합니다.",음식 주문하기
train_31,"#person1#:  도와드릴까요? #person2#:  재킷을  싶어요. #person1#: 어떤 사이즈를 원하세요? #person2#: 40 사이즈요. #person1#: 어떤 색상을 선호하시나요? #person2#: 잠시만요. 갈색은 어떨까요? #person1#: 음,  재킷은 정말 아름답지만, 제 생각에 당신에게는 검정색이 더 잘 어울릴 것 같아요. #person2#: 정말요? 그럼 그걸로 주세요. #person1#: 다른 것은  없으신가요? #person2#: 이 드레스는  실크인가요? #person1#: 네, 맞아요. 정말 훌륭해요. #person2#: 세탁이 가능한가요? #person1#: 네, 가능해요. 하지만 조심스럽게 다뤄야 해요. #person2#: 얼마인가요? #person1#:  350 위안이에요. #person2#: 좋아요. 포장해 주시겠어요? #person1#: 네, 여기 있습니다.",#person2#는 #person1#의 추천에 따라 가죽 재킷과 순수 실크 드레스를 구매합니다.,재킷 구매하기
train_32,"#person1#: 제가 많이 들어본  로스앤젤레스에요. 기후가  좋아요.  내내  피고, 일년 내내 수영을 할 수 있어요. 어떻게 생각하세요? #person2#: 음, 해변은 아름다워요. 하지만  사람들은 더러운 공기에 대해 매우 짜증을  있어요.  안개, 연기, 자동차 배기가스의  말이죠. 그것을 날려버릴 바람이 충분하지 않아요.",#person2#는 #person1#에게 로스앤젤레스의 더러운 공기에 사람들이 짜증을 내고 있다고 말합니다.,기후
train_33,"#person1#: 선생님, 꽤 오랫동안 온라인 카탈로그를 사용하고 계시네요. 제가 도와드릴 일이 있을까요? #person2#: 음, 저는 30년대와 40년대의 할리우드에 대한 논문을  하는데, 정말 힘들어요. 수백   있고, 어디서부터 시작해야 할지 모르겠어요. #person1#: 주제가 꽤  느껴지네요. 그  동안의 스튜디오의  같은... 좀 더 구체적인 주제로 좁혀보는 건 어떨까요? #person2#: 그 생각을 해봤는데, '영화 스튜디오'를 검색하니 30권 이상의 책이 나왔어요. #person1#: 당신이 원하는  연도를 나열함으로써  좁혀볼 수 있을 것 같아요. '1930년대'나 '1940년대'  '황금 시대'를 추가해보세요. #person2#: '황금 시대' 좋은 생각이네요, 입력해볼게요. 어, 이번엔 6권의  나왔어요.  나아졌네요. #person1#: 아, 고려해볼 만한 다른  있어요. 잡지나 신문 기사를 찾아보신 적 있나요? #person2#: 아니요, 책만 찾아봤어요. #person1#: 그럼, 기간별 문헌을 찾을 수 있는 독자들의 가이드에서  기사를 찾아볼 수 있어요. #person2#: 좋아요, 이 책들부터 시작해보고  잡지를 살펴볼게요. #person1#: 도움이 필요하시면,  데스에서 기다리고 있을게요. #person2#: 좋아요, 정말 감사합니다.",#person2#는 30년대와 40년대의 할리우드에 대한 책을 선택하는 데 어려움을  있습니다. #person1#은 그가 원하는 특정 연도를 나열하여 주제를 좁혀보는 것을 제안합니다. #person1#은 #person2#에게 잡지 기사를 찾아볼 수 있다고 말합니다.,책 검색하기
